OBJECTID,link_name,len_mile,ifc,ifc_desc,post_speed,iway,vmt,volumes,lanes,median,SHAPE_Length
1,PASEO DEL SUR,0.153255,4,Collector,35,2,329.3513372,2.14904138,2,No Median,809.2201561
2,PASEO DEL SUR,0.128556,4,Collector,35,2,276.272164,2.14904138,2,No Median,678.7854382
3,RALPHS RANCH,0.202993,7,Local (non-circulation element) Road,25,2,2790.099227,13.74480513,4,Raised of Fixed Median,1071.842082
4,RALPHS RANCH,0.1793,7,Local (non-circulation element) Road,25,2,337.5517134,1.88260855,4,Raised of Fixed Median,946.6290419
5,RICHARD,0.096577,7,Local (non-circulation element) Road,25,2,181.8166861,1.88260855,2,No Median,509.941817
6,RICHARD,0.112354,7,Local (non-circulation element) Road,25,2,425.1896676,3.78437499,2,No Median,593.2336725
7,ALVA,0.317336,5,Local Collector,30,2,1290.437662,4.06647106,4,Raised of Fixed Median,1675.578643
8,ALVA,0.173251,5,Local Collector,30,2,704.5201783,4.06647106,4,Raised of Fixed Median,914.740673
9,BONITA,0.152645,4,Collector,45,2,3598.984282,23.577479,2,Continuous LT Center Lane,805.9879376
10,WINDINGWALK,0.28157,7,Local (non-circulation element) Road,30,2,292.978557,1.04051766,2,No Median,1486.667183
11,WINDINGWALK,0.247783,7,Local (non-circulation element) Road,30,2,144.6336927,0.58371112,2,No Median,1308.285603
12,DISCOVERY FALLS,0.170521,3,Major Arterial,30,2,232.401283,1.36288951,2,No Median,900.3696179
13,DISCOVERY FALLS,0.168449,7,Local (non-circulation element) Road,30,2,342.6787796,2.03431768,2,No Median,889.4064488
14,EXPLORATION FALLS,0.138624,3,Major Arterial,30,2,1479.107825,10.66992603,2,No Median,731.9815651
15,DISCOVERY FALLS,0.234987,7,Local (non-circulation element) Road,30,2,5.822573212,0.02477828,2,No Median,1240.734791
16,EXPLORATION FALLS,0.094238,3,Major Arterial,30,2,210.3417077,2.23202644,2,No Median,497.5271559
17,H,0.023044,2,Prime Arterial,45,2,412.7000867,17.90922091,6,Raised of Fixed Median,121.6735007
18,BIRCH,0.150665,2,Prime Arterial,50,2,1701.091551,11.29055555,6,Raised of Fixed Median,795.5105944
19,15TH,0.056338,7,Local (non-circulation element) Road,25,2,35.2073771,0.62493126,2,No Median,297.4860189
20,EASTLAKE PKWY,0.155961,3,Major Arterial,50,2,255.2980467,1.63693517,6,Raised of Fixed Median,823.4497427
21,01ST,0.035511,4,Collector,30,2,310.5018948,8.74382289,3,No Median,187.5006197
22,01ST,0.194343,3,Major Arterial,45,2,3488.294003,17.94916206,4,Raised of Fixed Median,1026.129792
23,01ST,0.034991,5,Local Collector,35,2,195.7990241,5.59569672,2,No Median,184.7998272
24,02ND,0.09006,3,Major Arterial,35,2,2851.412745,31.66125633,4,Raised of Fixed Median,475.5179299
25,03RD,0.061411,5,Local Collector,35,2,370.5039574,6.03318554,2,No Median,324.2013532
26,28TH,0.115106,5,Local Collector,25,2,1803.252908,15.66602008,2,No Median,607.7586396
27,01ST,0.071027,5,Local Collector,25,1,935.4362363,13.17014989,2,No Median,375.0216557
28,35TH,0.137308,5,Local Collector,30,2,569.6400007,4.14862936,2,No Median,724.987127
29,4SR,0.206957,7,Local (non-circulation element) Road,25,2,86.70337768,0.41894392,2,Raised of Fixed Median,1092.804849
30,4SR,0.143772,7,Local (non-circulation element) Road,25,2,60.23240584,0.41894392,2,Raised of Fixed Median,759.0648344
31,52ND,0.034644,5,Local Collector,30,2,180.3805269,5.2066888,2,No Median,182.943631
32,73RD,0.068501,7,Local (non-circulation element) Road,25,2,106.6354205,1.55669874,2,No Median,361.6584145
33,ACAMA ST,0.067376,5,Local Collector,25,2,378.5655723,5.61870061,2,No Median,355.7581469
34,ADAMS,0.041182,4,Collector,30,2,804.9927994,19.54720022,2,Continuous LT Center Lane,217.4428185
35,AIRPORT ACCESS,0.235954,7,Local (non-circulation element) Road,25,1,1118.050165,4.73842429,3,No Median,1245.883258
36,54TH,0.091149,3,Major Arterial,35,2,2099.437122,23.03302419,4,Raised of Fixed Median,481.2669317
37,AIRWAY,0.211013,4,Collector,25,2,464.4818829,2.20120032,2,No Median,1114.148732
38,ALICANTE,0.142385,5,Local Collector,40,2,675.0712324,4.74116819,2,No Median,751.8159649
39,ALICANTE,0.37014,5,Local Collector,40,2,1368.87332,3.69825828,2,No Median,1954.315952
40,ALICANTE,0.140273,5,Local Collector,40,2,415.0069389,2.95856607,2,No Median,740.6948835
41,ADRIAN,0.150393,5,Local Collector,30,2,653.9056743,4.34797946,2,No Median,794.0749279
42,ALICANTE,0.309182,5,Local Collector,40,2,914.7353759,2.95856607,2,No Median,1632.461024
43,ALICANTE,0.307417,5,Local Collector,40,2,980.1516673,3.18834569,2,No Median,1623.204122
44,ALMAZON,0.471264,5,Local Collector,25,2,0,0,2,No Median,2488.315712
45,54TH,0.133553,3,Major Arterial,35,2,3166.115331,23.70680802,4,Raised of Fixed Median,705.1594581
46,54TH,0.095649,3,Major Arterial,35,2,1410.817074,14.74994066,4,Raised of Fixed Median,505.0247293
47,OLIVE,0.065105,5,Local Collector,25,2,176.5176479,2.71127637,2,No Median,343.705919
48,ALPINE,0.108547,5,Local Collector,35,2,710.6826032,6.54723395,2,Continuous LT Center Lane,573.1148873
49,I-805 HOV NB,0.297874,1,Freeway,65,1,3180.334779,10.6767787,1,No Median,1572.769588
50,I-805 NB,0.305131,1,Freeway,65,1,28913.07444,94.75626679,4,No Median,1611.15969
51,ALPINE,0.099079,5,Local Collector,35,2,902.2125036,9.10599121,2,Continuous LT Center Lane,523.1371498
52,ALPINE,0.089334,4,Collector,40,2,418.0710605,4.67986501,2,No Median,471.6824443
53,AMBROSIA,0.289331,5,Local Collector,40,2,639.2168604,2.20929268,2,No Median,1527.693401
54,ALVA,0.188668,5,Local Collector,30,2,767.2129627,4.06647106,4,Raised of Fixed Median,996.1332587
55,ARAGON,0.172472,5,Local Collector,25,2,1040.8905,6.03512744,2,No Median,910.6546177
56,63RD,0.105375,5,Local Collector,30,2,490.1416579,4.65140363,2,No Median,556.3562775
57,ARMADA,0.237338,4,Collector,40,2,2113.249111,8.90396444,4,No Median,1253.156264
58,ARMADA,0.074801,4,Collector,40,2,666.0254438,8.90396444,4,No Median,394.9751333
59,ARMADA,0.052171,4,Collector,40,2,694.9852516,13.32129443,4,No Median,275.4630369
60,54TH,0.24324,3,Major Arterial,35,2,5334.286742,21.9301379,4,Raised of Fixed Median,1284.305375
61,ARMADA,0.260948,4,Collector,40,2,3476.165138,13.32129443,4,No Median,1377.780066
62,ASHLEY FALLS,0.054928,5,Local Collector,25,2,86.8200941,1.58061634,2,No Median,290.0202129
63,AUTOPARK,0.126729,4,Collector,35,1,850.4313507,6.71062938,2,No Median,669.1193914
64,AVD COSTA NORTE,0.215124,4,Collector,35,2,753.014266,3.50037311,2,No Median,1135.826549
65,06TH,0.045431,3,Major Arterial,25,2,918.353434,20.21424653,4,No Median,239.9018669
66,OCEAN RANCH,0.285052,5,Local Collector,30,2,341.0647645,1.19650016,2,No Median,1505.095513
67,32ND,0.097041,5,Local Collector,25,2,428.4726081,4.41537709,2,No Median,512.4020894
68,32ND,0.062784,5,Local Collector,25,2,176.2243392,2.80683517,2,No Median,331.5015014
69,32ND,0.066951,5,Local Collector,25,2,187.9204213,2.80683517,2,No Median,353.5016917
70,54TH,0.069787,3,Major Arterial,35,2,1116.45533,15.99804161,4,Raised of Fixed Median,368.4978995
71,54TH,0.134246,3,Major Arterial,35,2,2147.673093,15.99804161,4,Raised of Fixed Median,708.7920381
72,AVNDA ENCINAS,0.402138,4,Collector,40,2,3543.329307,8.81122726,4,Raised of Fixed Median,2123.302769
73,AVNDA ENCINAS,0.101062,4,Collector,40,2,1026.952093,10.16160469,4,Raised of Fixed Median,533.6322118
74,AVNDA ENCINAS,0.102246,4,Collector,35,2,278.9402058,2.7281283,2,No Median,539.9028535
75,AVNDA MAGNIFICA,0.15074,5,Local Collector,25,2,704.2899833,4.67221695,2,No Median,795.9265407
76,AVOCADO,0.113094,3,Major Arterial,40,2,1887.05074,16.68568395,4,No Median,597.1378172
77,B,0.108322,5,Local Collector,25,2,161.364518,1.48967447,2,No Median,571.9830636
78,B,0.11026,5,Local Collector,25,2,66.17006719,0.60012758,2,No Median,582.1927818
79,26TH,0.071972,5,Local Collector,35,2,489.1921044,6.79697805,2,No Median,380.0133406
80,26TH,0.07216,5,Local Collector,35,2,296.487157,4.10874663,2,No Median,381.0051435
81,25TH,0.073491,4,Collector,30,2,537.4406238,7.3130128,4,No Median,388.0329084
82,BALLANTYNE,0.125199,3,Major Arterial,40,2,2026.158948,16.18350744,4,No Median,661.0483999
83,BALLANTYNE,0.068573,3,Major Arterial,40,2,1249.146317,18.21629967,4,No Median,362.0676051
84,BALLANTYNE,0.123711,3,Major Arterial,40,2,2604.161666,21.05036469,4,No Median,653.1959945
85,BALLANTYNE,0.08271,3,Major Arterial,35,2,1700.415864,20.55876997,4,No Median,436.6829101
86,BAY,0.261831,5,Local Collector,35,2,934.8863643,3.57057172,2,No Median,1382.46752
87,BERNARDO CENTER,0.045868,3,Major Arterial,40,2,1149.030735,25.05081397,6,Raised of Fixed Median,242.1891029
88,CARMEL VALLEY,0.652893,3,Major Arterial,50,2,15285.48256,23.41192593,6,Raised of Fixed Median,3447.231992
89,DEL MAR HEIGHTS,0.100222,2,Prime Arterial,45,2,1679.061681,16.75342421,6,Raised of Fixed Median,529.1732181
90,DOVE CANYON,0.139305,7,Local (non-circulation element) Road,25,2,1536.730222,11.0314075,4,Raised of Fixed Median,735.5980498
91,DOVE CANYON,0.317716,7,Local (non-circulation element) Road,25,2,458.903024,1.44438122,4,Raised of Fixed Median,1677.541375
92,33RD,0.127293,5,Local Collector,25,2,470.9746065,3.69992542,2,No Median,672.1071022
93,44TH,0.138474,5,Local Collector,25,2,797.8571308,5.76178294,2,No Median,731.1414472
94,BOBIER,0.065878,3,Major Arterial,40,2,1024.402489,15.54999377,4,Continuous LT Center Lane,347.8441063
95,BONITA,0.206425,4,Collector,45,2,1729.618783,8.37892108,3,No Median,1089.907651
96,BORDEN,0.234678,4,Collector,45,2,1385.735895,5.90483937,2,No Median,1239.11312
97,BORDEN,0.042907,5,Local Collector,35,2,195.5827513,4.55829471,2,No Median,226.5500792
98,06TH,0.07254,3,Major Arterial,30,2,923.6011582,12.7323016,4,No Median,383.0116393
99,BOUNDARY,0.043274,5,Local Collector,20,1,125.1995047,2.89318077,1,No Median,228.4839955
100,06TH,0.071789,3,Major Arterial,30,2,775.5132971,10.80267586,4,No Median,379.0473884
101,06TH,0.072165,3,Major Arterial,30,2,779.5751032,10.80267586,4,No Median,381.032701
102,BRABHAM,0.269886,7,Local (non-circulation element) Road,25,2,427.8700072,1.58537311,2,Continuous LT Center Lane,1424.991903
103,BRADLEY,0.031821,3,Major Arterial,40,2,399.2857336,12.54786882,2,No Median,168.0157335
104,TOWN GARDEN,0.341385,5,Local Collector,30,2,1863.796409,5.45951465,2,No Median,1802.491181
105,EL CAMINO REAL,0.299382,2,Prime Arterial,55,2,14916.0628,49.8228444,6,Raised of Fixed Median,1580.688433
106,25TH,0.071593,3,Major Arterial,35,2,241.6149751,3.37484077,4,No Median,378.0132128
107,25TH,0.072349,4,Collector,30,2,322.5775302,4.4586315,4,No Median,382.0028518
108,BRIGHTON,0.124091,7,Local (non-circulation element) Road,25,2,0,0,2,No Median,655.201447
109,BRITANNIA,0.204008,4,Collector,35,2,67.3476573,0.33012263,2,No Median,1077.13748
110,BUSINESS PARK,0.258611,4,Collector,45,2,3738.943428,14.45778961,4,No Median,1365.423777
111,BUSINESS PARK,0.149047,4,Collector,45,2,1480.893992,9.93575176,4,No Median,786.9651476
112,BUSINESS PARK,0.118382,4,Collector,45,2,1764.442724,14.90465378,4,No Median,625.0795741
113,43RD,0.125589,3,Major Arterial,30,1,996.790487,7.93692511,2,No Median,663.1085743
114,BUSINESS PARK,0.112465,4,Collector,45,2,1747.956156,15.54222341,4,No Median,593.8379609
115,C,0.05303,5,Local Collector,30,1,362.3901451,6.83368179,1,No Median,280.0000962
116,C,0.049432,5,Local Collector,30,2,324.2783339,6.56008929,2,No Median,261.0035824
